CustomerKey,Predicted_CLV,CLV_Score
-1,241513.14860756256,99
11000,6051.942362455393,95
11001,241513.14860756256,99
11002,5112.180211963722,91
11003,6051.942362455393,95
11004,6051.942362455393,95
11005,6051.942362455393,95
11006,6051.942362455393,95
11007,5271.530274424263,91
11008,5271.530274424263,91
11009,6051.942362455393,95
11010,4870.716448681806,86
11011,5112.180211963722,91
11012,72.74428288581213,39
11013,251.66184383519624,42
11014,306.4606215964209,46
11015,2133.82428747389,66
11016,2133.82428747389,66
11017,4801.116459895735,84
11018,5902.976325621288,93
11019,251.66184383519624,42
11020,2143.988751417301,69
11021,2133.82428747389,66
11022,2143.988751417301,69
11023,251.66184383519624,42
11024,70.79579325343481,39
11025,5902.976325621288,93
11026,5902.976325621288,93
11027,5902.976325621288,93
11028,5902.976325621288,93
11029,5902.976325621288,93
11030,4801.116459895735,84
11031,5902.976325621288,93
11032,5902.976325621288,93
11033,5902.976325621288,93
11034,4801.116459895735,84
11035,5902.976325621288,93
11036,2143.988751417301,69
11037,2283.327792146787,76
11038,4636.099546189082,82
11039,5902.976325621288,93
11040,2133.82428747389,66
11041,2133.82428747389,66
11042,2254.5735138286072,75
11043,65.4895565740005,29
11044,5902.976325621288,93
11045,391.8450865691347,49
11046,5902.976325621288,93
11047,5067.799532564514,89
11048,241513.14860756256,99
11049,72.74428288581213,39
11050,241513.14860756256,99
11051,251.66184383519624,42
11052,6051.942362455393,95
11053,2143.988751417301,69
11054,6051.942362455393,95
11055,6051.942362455393,95
11056,6051.942362455393,95
11057,4870.716448681806,86
11058,6051.942362455393,95
11059,322.9665705697751,47
11060,6051.942362455393,95
11061,6051.942362455393,95
11062,2133.82428747389,66
11063,2283.327792146787,76
11064,2143.988751417301,69
11065,251.66184383519624,42
11066,72.74428288581213,39
11067,251.66184383519624,42
11068,259.1898489603553,44
11069,4805.35473180052,85
11070,6051.942362455393,95
11071,251.66184383519624,42
11072,6051.942362455393,95
11073,251.16595874585477,41
11074,306.4606215964209,46
11075,6051.942362455393,95
11076,4870.716448681806,86
11077,6051.942362455393,95
11078,251.66184383519624,42
11079,73.51610660803824,40
11080,6051.942362455393,95
11081,322.9665705697751,47
11082,2382.6756493811304,79
11083,2382.6756493811304,79
11084,2085.6105810796203,64
11085,251.66184383519624,42
11086,251.66184383519624,42
11087,417.7644991694826,51
11088,2382.6756493811304,79
11089,2085.6105810796203,64
11090,241513.14860756256,99
11091,2085.6105810796203,64
11092,6051.942362455393,95
11093,6051.942362455393,95
11094,251.66184383519624,42
11095,6051.942362455393,95
11096,5104.600354419864,90
11097,6186.2008020651365,97
11098,69.07882020102264,38
11099,6051.942362455393,95
11100,6186.2008020651365,97
11101,6051.942362455393,95
11102,251.66184383519624,42
11103,6051.942362455393,95
11104,6051.942362455393,95
11105,6051.942362455393,95
11106,4805.35473180052,85
11107,6051.942362455393,95
11108,6051.942362455393,95
11109,6051.942362455393,95
11110,6186.2008020651365,97
11111,6186.2008020651365,97
11112,6186.2008020651365,97
11113,306.4606215964209,46
11114,251.66184383519624,42
11115,251.66184383519624,42
11116,259.1898489603553,44
11117,6051.942362455393,95
11118,251.66184383519624,42
11119,66.53378912351239,34
11120,5902.976325621288,93
11121,72.74428288581213,39
11122,65.4895565740005,29
11123,251.66184383519624,42
11124,6051.942362455393,95
11125,74.0318107329557,40
11126,5902.976325621288,93
11127,66.47859855585776,33
11128,251.16595874585477,41
11129,3752.343602891325,81
11130,16.756233268864186,3
11131,251.66184383519624,42
11132,2283.327792146787,76
11133,66.53378912351239,34
11134,4636.099546189082,82
11135,2188.484421778888,71
11136,2133.82428747389,66
11137,251.66184383519624,42
11138,66.53378912351239,34
11139,66.47859855585776,33
11140,59.60994272490426,26
11141,259.1898489603553,44
11142,251.66184383519624,42
11143,73.51610660803824,40
11144,2133.82428747389,66
11145,2133.82428747389,66
11146,251.16595874585477,41
11147,5902.976325621288,93
11148,251.66184383519624,42
11149,66.53378912351239,34
11150,251.16595874585477,41
11151,5902.976325621288,93
11152,2143.988751417301,69
11153,322.9665705697751,47
11154,2143.988751417301,69
11155,2143.988751417301,69
11156,2176.8485616847315,70
11157,65.4895565740005,29
11158,2133.82428747389,66
11159,72.74428288581213,39
11160,2143.988751417301,69
11161,259.1898489603553,44
11162,2143.988751417301,69
11163,67.67752604691813,37
11164,251.16595874585477,41
11165,380.1980519613442,48
11166,73.51610660803824,40
11167,2108.017343024906,65
11168,2382.6756493811304,79
11169,72.74428288581213,39
11170,251.66184383519624,42
11171,5902.976325621288,93
11172,251.66184383519624,42
